agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
21,Volánbusz,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
21-GÖ,Volánbusz - Gödöllő,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
21-MO,Volánbusz - Monor,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
21-TRTO,Trans Tour,http://www.trans-tour.hu/,Europe/Budapest,hu,
21-VÁ,Volánbusz - Vác,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
21-WE2,Weekendbus Zrt.,https://weekendbus.hu/,Europe/Budapest,hu,+36-(1/20/30)-262-6262
40-BA,Volánbusz - Baja,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-BC,Volánbusz - Békéscsaba,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-BE,Volánbusz - Békés,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-C,Volánbusz - Csongrád,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-GYU,Volánbusz - Gyula,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-H,Volánbusz - Hódmezővásárhely,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-M,Volánbusz - Makó,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-MB,Volánbusz - Mezőberény,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-MÓRA,Volánbusz - Mórahalom,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-OH,Volánbusz - Orosháza,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
40-Z,Volánbusz - Szentes,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-91,Volánbusz - Szekszárd,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-92,Volánbusz - Bonyhád,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-95,Volánbusz - Komló,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-9581,Volánbusz - Mohács,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-9583,Volánbusz - Siklós,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-959,Volánbusz - Szigetvár,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-96,Volánbusz - Siófok,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-9617,Volánbusz - Fonyód,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-9625,Volánbusz - Nagyatád,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-9630,Volánbusz - Csurgó,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
41-9702,Volánbusz - Bátaszék,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
