service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_desc
hkir_1-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240930,20240930,hétfői munkanapokon
hkir_1-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241209,hétfői munkanapokon
hkir_1-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241007,20241209,hétfői munkanapokon
hkir_103-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241214,"a tanév tartama alatt munkanapokon, kivéve a hetek utolsó munkanapját"
hkir_11-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20240930,május 1-től szeptember 30-ig naponta
hkir_117-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,"tanév tartama alatt a hetek első munkanapját megelőző napon, tanév tartama alatt a hetek első munkanapját megelőző napon, kivéve december 26-án"
hkir_117-2024-09-30_2024-12-14,0,0,0,0,0,0,0,20241006,20241208,"tanév tartama alatt a hetek első munkanapját megelőző napon, tanév tartama alatt a hetek első munkanapját megelőző napon, kivéve december 26-án"
hkir_122-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,tanév tartama alatt munkaszüneti napokon
hkir_124-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241001,20241212,keddi és csütörtöki munkanapokon
hkir_127-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,keddi és pénteki munkanapokon
hkir_13-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241209,a hetek első iskolai előadási napján
hkir_132-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241023,nyári időszámítás tartama alatt munkaszüneti napokon
hkir_133-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241130,"tanév tartama alatt szabadnapokon, kivéve december 24-én"
hkir_139-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241027,20241208,téli időszámítás tartama alatt szabad- és munkaszüneti napokon
hkir_14-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,a hetek utolsó iskolai előadási napján
hkir_140-2024-09-27_2024-09-30,0,0,0,0,0,0,0,20240928,20240929,nyári időszámítás tartama alatt szabad- és munkaszüneti napokon
hkir_140-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241026,nyári időszámítás tartama alatt szabad- és munkaszüneti napokon
hkir_140-2024-10-01_2024-10-06,0,0,0,0,0,0,0,20241005,20241006,nyári időszámítás tartama alatt szabad- és munkaszüneti napokon
hkir_140-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241012,20241026,nyári időszámítás tartama alatt szabad- és munkaszüneti napokon
hkir_145-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"tanév tartama alatt naponta, nyári tanszünetben munkanapokon"
hkir_146-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241029,20241029,tanszünetben keddi és pénteki munkanapokon
hkir_15-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240929,20241006,a hetek első iskolai előadási napját megelőző munkaszüneti napon
hkir_15-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,a hetek első iskolai előadási napját megelőző munkaszüneti napon
hkir_15-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241013,20241208,a hetek első iskolai előadási napját megelőző munkaszüneti napon
hkir_154-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,iskolai előadási napokon kedden és pénteken
hkir_156-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241214,"iskolai előadási napokon, kivéve a hetek utolsó iskolai előadási napját"
hkir_157-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241003,20241212,csütörtöki iskolai előadási napokon
hkir_16-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240927,20241004,tanév tartama alatt munkanapokon
hkir_16-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,tanév tartama alatt munkanapokon
hkir_16-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241007,20241214,tanév tartama alatt munkanapokon
hkir_164-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240928,20241130,"szabadnapokon, valamint tanszünetben munkanapokon"
hkir_164-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241012,20241130,"szabadnapokon, valamint tanszünetben munkanapokon"
hkir_165-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,a hetek első iskolai előadási napját megelőző napon
hkir_167-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241030,20241030,tanszünetben szerdai munkanapokon
hkir_172-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241212,iskolai előadási napokon hétfőtől csütörtökig
hkir_176-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241028,20241214,téli időszámítás tartama alatt munkanapokon
hkir_179-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241023,20241101,"tanszünetben munkaszüneti napokon, valamint I.1., III.15., IV.15., IV.18., VI.6, VIII.20-án, tanszünetben munkaszüneti napokon, valamint I.1., III.15., V.1., V.19., X.23-án"
hkir_18-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241214,páros számú heteken munkanapokon
hkir_19-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241207,páratlan számú heteken munkanapokon
hkir_2-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241001,20241210,keddi munkanapokon
hkir_207-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241213,keddi és pénteki munkanapokon
hkir_212-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve december 24-ét és 31-ét"
hkir_213-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241028,20241031,január 8-tól június 30-ig és augusztus 21-től december 23-ig tanszünetben munkanapokon
hkir_216-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241003,20241205,minden hónap első csütörtöki munkanapján
hkir_217-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241210,hétfői és keddi munkanapokon
hkir_219-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve december 25-ét, 26-át és január 1-jét"
hkir_220-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"szerdai, csütörtöki és pénteki munkanapokon"
hkir_221-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,a hetek első iskolai előadási napját megelőző napon
hkir_228-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,keddtől péntekig munkanapokon
hkir_229-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"naponta, kivéve december 24-ét"
hkir_23-2024-09-27_2024-10-06,0,0,0,0,0,0,0,20240927,20241005,"munkanapokon, valamint munkanapot követő napon a MERCEDES-gyár munkarendje szerint"
hkir_23-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,"munkanapokon, valamint munkanapot követő napon a MERCEDES-gyár munkarendje szerint"
hkir_23-2024-10-07_2024-12-14,0,0,0,0,0,0,0,20241007,20241214,"munkanapokon, valamint munkanapot követő napon a MERCEDES-gyár munkarendje szerint"
hkir_230-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241025,nyári időszámítás tartama alatt a hetek utolsó munkanapján
hkir_234-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,július 5-ig és szeptember 1-től munkanapokon
hkir_236-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240929,20241208,"munkaszüneti napokon, valamint tanszünetben munkanapokon"
hkir_237-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240930,20241211,hétfői és szerdai munkanapokon
hkir_239-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241009,20241211,minden hónap második szerdáján
hkir_240-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20241005,20241208,április 30-ig és október 1-től szabad- és munkaszüneti napokon
hkir_241-2024-09-27_2024-12-14,0,0,0,0,0,0,0,20240927,20241214,május 31-ig és szeptember 1-től munkanapokon
