agency_id,route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color,route_network
hkir_V-02219,hkir_V-02219-H-3-1,1,Fűzfőgyártelep - Fövenyfürdő - Fűzfőgyártelep,3,,152B32,FFFFFF,local
hkir_V-02918,hkir_V-02918-H-3-1,1,Vasútállomás - Németfalu - Köztemető,3,,152B32,FFFFFF,local
hkir_V-02918,hkir_V-02918-H-3-2,2,Vasútállomás - Újtelep - Köztemető,3,,152B32,FFFFFF,local
hkir_V-02918,hkir_V-02918-H-3-3,3,Vasútállomás - Daru - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-13,13,Békeváros - Autóbusz-állomás - Dózsa mozi - Békeváros,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-14,14,Papírgyár - Autóbusz-állomás - Szabadság u.,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-18,18,Volán-telep - Vasútállomás - Bocskai u. Római krt - Aut.áll. - Vasútállomás - Volán-telep,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-2,2,Kokszvegyészet - Papírgyár - Autóbusz állomás - Szórád M.út - Vasmű út - Papírgyár - Kokszvegyészet,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-25,25,Szabadság u. - Autóbusz-állomás - Római krt. - Body Fashion,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-27,27,Bagolyvár - Autóbusz-állomás - Body Fashion,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-28,28,Body Fashion Kft. - Ováros - Békeváros,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-29,29,Body Fashion Kft. - Temet - Ováros - Vasmű út - Autóbusz-állomás - Szórád M.út - Ováros - Temet - Body Fashion Kft,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-3,3,Papírgyár - Vasmű út - Római krt. - Vasmű út - Papírgyár,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-33,33,Pálhalma - Domanovszky tér - Autóbusz-állomás - Szórád Márton utca,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-35,35,Pálhalma - Ujtelep - TESCO - Szórád M.út - Autóbusz-állomás - Római krt. - TESCO - Ujtelep - Pálhalma,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-40,40,"Békeváros,Bagolyvár - Hajnal u. - Autóbusz-állomás - Római krt. - Bocskai u. - Hajnal u. - Békeváros,Bagolyvár",3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-44,44,Békeváros - Bocskai u. - Autóbusz-állomás - Ferrobeton - Papírgyár,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-5,5,Kertváros - Bocskai u. - Szórád M.út - Autóbusz-állomás - Római krt. - Ujtelep - Békeváros - Volán-telep,3,,152B32,FFFFFF,local
hkir_V-03115,hkir_V-03115-H-3-8,8,Kokszvegyészet - Autóbusz-állomás - Szórád M.út - Vasmű út - Kokszvegyészet,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-1,1,Déri sétány - Vámház - Dobó István utcai forduló - Barátság téri iskola - Déri sétány,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-2,2,Déri sétány - Vasutas telep - Dobó István utcai forduló - Vámház - Déri sétány,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-3,3,Déri sétány - Gólya sor - Déri sétány,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-4,4,Déri sétány - Gólyasor - Mártonszállás - Gólyasor - Déri sétány,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-5,5,Déri sétány - Tesco - Déri sétány - Vámház - Dobó István utcai forduló - Barátság téri iskola - Déri sé,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-6,6,Déri sétány - Pásztor utca - Vöröskereszt tér - DÉLHÚS - Hűtőház - Déri sétány,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-7,7,Déri sétány - DÉLHÚS - (Vaskúti úti laktanya forduló) - Vöröskereszt tér - Déri sétány - Dobó István u,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-8,8,Déri sétány - DÉLHÚS - (Vaskúti úti laktanya) - Vöröskereszt tér - Déri sétány,3,,152B32,FFFFFF,local
hkir_V-03522,hkir_V-03522-H-3-9,9,Tanítóképző Főiskola - Svraka tanya - Tanítóképző Főiskola,3,,152B32,FFFFFF,local
hkir_V-04260,hkir_V-04260-H-3-1,1,"Mezőtúr, aut. áll. - Kossuth tér. - aut. áll.",3,,152B32,FFFFFF,local
hkir_V-04349,hkir_V-04349-H-3-1,1,Autóbusz-állomás - Nyár utca - Munkácsy utca - Röszkei út - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-10,10,Vasútállomás - Moson - Evangélikus templom - Ujhelyi iskola - Tündérfátyol utca,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-1M,1M,Vasútállomás - Moson - Városháza - Mofém-gyár - Autóbusz-végállomás,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-2,2,Vasútállomás - Moson - Kiserdő utca - Városháza - Autóbusz-végállomás,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-2G,2G,Vasútállomás - Moson - Károly út - Gimnázium - Autóbusz-végállomás,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-4,4,Vasútállomás - Evangélikus templom - Majorok - Tündérfátyol utca,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-4A,4A,Vasútállomás - Kossuth Lajos utca - Városháza - Autóbusz-végállomás,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-5,5,Vasútállomás - Evangélikus templom - Ujhelyi iskola - Tündérfátyol utca,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-5A,5A,Autóbusz-végállomás - Evangélikus templom - Ujhelyi iskola - Tündérfátyol utca,3,,152B32,FFFFFF,local
hkir_V-04783,hkir_V-04783-H-3-7B,7B,Vasútállomás - Bartók Béla utca - Autóbusz-végállomás,3,,152B32,FFFFFF,local
hkir_V-04923,hkir_V-04923-H-3-1,1,Karcag vá - Nagyvénkert,3,,152B32,FFFFFF,local
hkir_V-04923,hkir_V-04923-H-3-2,2,"Karcag aut.áll. - Karcag, Kutatóintézet",3,,152B32,FFFFFF,local
hkir_V-04923,hkir_V-04923-H-3-3,3,Karcag vasútállomás - Nagyvénkert,3,,152B32,FFFFFF,local
hkir_V-04923,hkir_V-04923-H-3-4,4,Karcag vá. - Karcag aut.áll.,3,,152B32,FFFFFF,local
hkir_V-05032,hkir_V-05032-H-3-4,4,Vasútállomás - Gyulavári kastély/Dénesmajor,3,,152B32,FFFFFF,local
hkir_V-05032,hkir_V-05032-H-3-5,5,Vasútállomás - Várfürdő,3,,152B32,FFFFFF,local
hkir_V-05111,hkir_V-05111-H-3-1,1,Autóbusz-forduló - Autóbusz-állomás - Kőkereszt,3,,152B32,FFFFFF,local
hkir_V-05111,hkir_V-05111-H-3-1A,1A,Autóbusz-forduló - Autóbusz-állomás - Kőkereszt,3,,152B32,FFFFFF,local
hkir_V-05111,hkir_V-05111-H-3-3,3,Autóbusz-forduló - Autóbusz-állomás - Kőkereszt,3,,152B32,FFFFFF,local
hkir_V-05175,hkir_V-05175-H-3-1,1,Kösely Zrt. - Autóbusz-állomás - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-05175,hkir_V-05175-H-3-1A,1A,Autóbusz-állomás - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-05175,hkir_V-05175-H-3-2,2,Autóbusz-állomás - Hőforrás u. - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-05175,hkir_V-05175-H-3-2A,2A,Autóbusz-állomás - Rácz Farkas u. - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-05175,hkir_V-05175-H-3-3,3,Autóbusz-állomás - Köztemető,3,,152B32,FFFFFF,local
hkir_V-05236,hkir_V-05236-H-3-1,1,TESCO - Kispiac - Strand - Aranysas u. - Kossuth u. 12. - Bugát Pál kórház - Seregély út 48,3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-2,2,Autóbusz-állomás - Rendőrség - Vasútállomás - Koppánymonostor forduló,3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-23,23,"Koppánymonostor,tábor - Laktanya köz - Autóbusz-állomás - Termálfürdő - Kórház - MOL Városrész",3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-23K,23K,K.monostor - Kórház,3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-2T,2T,"Autóbusz-állomás - Rendőrség - Vasútállomás - Koppánymonostor,tábor",3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-3,3,Autóbusz-állomás - Termálfürdő - Kórház - MOL Városrész,3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-32,32,"MOL Városrész - Kórház - Termálfürdő - Autóbusz-állomás - Laktanya köz - Koppánymonostor,tábor",3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-32K,32K,Kórház - K.monostor,3,,152B32,FFFFFF,local
hkir_V-05449,hkir_V-05449-H-3-3K,3K,Kórház - Aut.áll.,3,,152B32,FFFFFF,local
hkir_V-05519,hkir_V-05519-H-3-1,1,Aut.áll. - Máriagyűd - Aut.áll.,3,,152B32,FFFFFF,local
hkir_V-06497,hkir_V-06497-H-3-1,1,"Autóbusz-állomás - Majos, alsó",3,,152B32,FFFFFF,local
hkir_V-06497,hkir_V-06497-H-3-2,2,Autóbusz-állomás - Hidas - Bonyhád vasútállomás,3,,152B32,FFFFFF,local
hkir_V-06497,hkir_V-06497-H-3-3,3,Autóbusz-állomás - Szecska - Fáy Ltp. - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-06497,hkir_V-06497-H-3-4,4,Autóbusz-állomás - Fáy Ltp. - Szecska - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-06497,hkir_V-06497-H-3-6,6,Autóbusz-állomás - Szecska lakótelep - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-06673,hkir_V-06673-H-3-1,1,Vasútállomás - Alsócsinger,3,,152B32,FFFFFF,local
hkir_V-06673,hkir_V-06673-H-3-10,10,Móra Ferenc utca -Timföldgyár -Vasútállomás - Alsócsinger,3,,152B32,FFFFFF,local
hkir_V-06673,hkir_V-06673-H-3-10Y,10Y,Móra Ferenc utca - Timföldgyár - Vasútállomás - Alsócsinger,3,,152B32,FFFFFF,local
hkir_V-06673,hkir_V-06673-H-3-12,12,Vasútállomás - Tósokberénd - Liliom utca - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-06673,hkir_V-06673-H-3-14,14,Vasútállomás - Ajkarendek,3,,152B32,FFFFFF,local
hkir_V-06673,hkir_V-06673-H-3-4,4,Tesco - Móra Ferenc utca - Hild park - Tesco,3,,152B32,FFFFFF,local
hkir_V-06691,hkir_V-06691-H-3-3,3,Autóbusz-állomás - Építők útja - Márka ABC - Vasútállomás,3,,152B32,FFFFFF,local
hkir_V-06691,hkir_V-06691-H-3-4B,4B,"Autóbusz-állomás - Munkás út - Herbolya,Tervtáró",3,,152B32,FFFFFF,local
hkir_V-06691,hkir_V-06691-H-3-9,9,Autóbusz-állomás - Pincesor - Autóbusz-állomás,3,,152B32,FFFFFF,local
hkir_V-07357,hkir_V-07357-H-3-5,5,Autóbusz állomás - Justh Gyula utca - MEDICOR - Ipari Park,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-1,1,Jereván lakótelep - Felső-Lőverek  Alsó-Lőverek - Lőver szálló,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-10,10,Jereván lakótelep - Ady Endre út  Bánfalvi út - Kertváros-felső,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-10B,10B,"Jereván lakótelep - Ady Endre út  Bánfalvi út - Kertváros felső - Brennbergi út, erdei iskola",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-10Y,10Y,Jereván lakótelep - Sopronbánfalva,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-11,11,Jereván lakótelep - Faraktár utca - Csengery utca - (Kórház -) Thököly tér,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-11A,11A,Thököly tér - Csengery utca - Faraktár utca - Jereván lakótelep,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-11B,11B,Jereván lakótelep - Faraktár utca - Csengery utca - Keleti rendező - (Kórház -) Thököly tér,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-11Y,11Y,Jereván ltp. - Keleti rendező - Thököly tér,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-12,12,"Jereván lakótelep - József Attila lakótelep - Kőszegi út, Sarudi utca",3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-12B,12B,Jereván lakótelep - Sopron Plaza - Kőszegi út,3,,152B32,FFFFFF,local
hkir_V-08518,hkir_V-08518-H-3-13,13,Jereván lakótelep - Híd utca - Sopronkőhida,3,,152B32,FFFFFF,local
