stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
hkir_101001,"Abasár, Béke tér",47.793633,19.992895,1,,
hkir_101001_1,"Abasár, Béke tér",47.793621,19.992884,,hkir_101001,
hkir_101002,"Abasár, Iskola",47.794878,20.003425,1,,
hkir_101002_1,"Abasár, Iskola",47.794878,20.003426,,hkir_101002,
hkir_101003,"Abasár, községháza",47.794304,19.999065,1,,
hkir_101003_1,"Abasár, községháza",47.794375,19.999113,,hkir_101003,
hkir_101003_2,"Abasár, községháza",47.794225,19.998920,,hkir_101003,
hkir_101004,"Abasár, Posta",47.799194,20.001938,1,,
hkir_101004_1,"Abasár, Posta",47.799164,20.001978,,hkir_101004,
hkir_101004_2,"Abasár, Posta",47.799218,20.001909,,hkir_101004,
hkir_101006,"Abasár, Tatármező",47.807186,20.025942,1,,
hkir_101006_1,"Abasár, Tatármező",47.807177,20.025942,,hkir_101006,
hkir_101006_2,"Abasár, Tatármező",47.807200,20.025937,,hkir_101006,
hkir_101007,"Abasár, Tiszti Lakótelep",47.803688,20.010418,1,,
hkir_101007_1,"Abasár, Tiszti Lakótelep",47.803868,20.010895,,hkir_101007,
hkir_101007_2,"Abasár, Tiszti Lakótelep",47.803510,20.009938,,hkir_101007,
hkir_101008,"Abasár, Vörösmarty Mihály utca 35.",47.805607,20.007378,1,,
hkir_101008_1,"Abasár, Vörösmarty Mihály utca 35.",47.805446,20.007369,,hkir_101008,
hkir_101008_2,"Abasár, Vörösmarty Mihály utca 35.",47.805772,20.007383,,hkir_101008,
hkir_101009,"Tatármező, alsó",47.809345,20.036282,1,,
hkir_101009_1,"Tatármező, alsó",47.809328,20.036283,,hkir_101009,
hkir_101009_2,"Tatármező, alsó",47.809365,20.036277,,hkir_101009,
hkir_101010,"Adács, Árpád fejedelem utca",47.693584,19.966743,1,,
hkir_101010_1,"Adács, Árpád fejedelem utca",47.693570,19.966803,,hkir_101010,
hkir_101010_2,"Adács, Árpád fejedelem utca",47.693601,19.966681,,hkir_101010,
hkir_101011,"Adács, Faluközpont",47.690742,19.975225,1,,
hkir_101011_1,"Adács, Faluközpont",47.690580,19.975340,,hkir_101011,
hkir_101011_2,"Adács, Faluközpont",47.690898,19.975289,,hkir_101011,
hkir_101011_3,"Adács, Faluközpont",47.690725,19.974826,,hkir_101011,
hkir_101012,"Adács, Rákóczi Ferenc utca",47.692265,19.981401,1,,
hkir_101012_2,"Adács, Rákóczi Ferenc utca",47.692286,19.981385,,hkir_101012,
hkir_101013,"Adács, Róbert Károly út",47.697670,19.974367,1,,
hkir_101013_1,"Adács, Róbert Károly út",47.697670,19.974334,,hkir_101013,
hkir_101013_2,"Adács, Róbert Károly út",47.697674,19.974394,,hkir_101013,
hkir_101015,"Adács, Telepi iskola",47.688179,19.984304,1,,
hkir_101015_1,"Adács, Telepi iskola",47.688182,19.984333,,hkir_101015,
hkir_101016,"Adács, Temető",47.694847,19.974962,1,,
hkir_101016_1,"Adács, Temető",47.694767,19.974838,,hkir_101016,
hkir_101016_2,"Adács, Temető",47.694929,19.975084,,hkir_101016,
hkir_101017,"Aldebrő, Iskola",47.782730,20.236155,1,,
hkir_101017_1,"Aldebrő, Iskola",47.782604,20.236192,,hkir_101017,
hkir_101017_2,"Aldebrő, Iskola",47.782863,20.236114,,hkir_101017,
hkir_101018,"Aldebrő, községháza",47.788258,20.230150,1,,
hkir_101018_1,"Aldebrő, községháza",47.787935,20.230021,,hkir_101018,
hkir_101018_2,"Aldebrő, községháza",47.788586,20.230279,,hkir_101018,
hkir_101021,"Aldebrő, Újfalu",47.796959,20.227793,1,,
hkir_101021_1,"Aldebrő, Újfalu",47.796676,20.227695,,hkir_101021,
hkir_101021_2,"Aldebrő, Újfalu",47.797251,20.227889,,hkir_101021,
hkir_101022,"Andornaktálya, Iskola",47.858849,20.406754,1,,
hkir_101022_1,"Andornaktálya, Iskola",47.858846,20.406746,,hkir_101022,
hkir_101022_2,"Andornaktálya, Iskola",47.858847,20.406759,,hkir_101022,
hkir_101023,"Andornaktálya, községháza",47.850224,20.410450,1,,
hkir_101023_1,"Andornaktálya, községháza",47.850334,20.410427,,hkir_101023,
hkir_101023_2,"Andornaktálya, községháza",47.850115,20.410472,,hkir_101023,
hkir_101024,"Andornaktálya, szociális otthon",47.838142,20.415604,1,,
hkir_101024_1,"Andornaktálya, szociális otthon",47.838021,20.415667,,hkir_101024,
hkir_101024_2,"Andornaktálya, szociális otthon",47.838262,20.415535,,hkir_101024,
hkir_101026,"Andornaktálya, Tórét",47.864914,20.407003,1,,
hkir_101026_1,"Andornaktálya, Tórét",47.864941,20.406978,,hkir_101026,
hkir_101026_2,"Andornaktálya, Tórét",47.864884,20.407029,,hkir_101026,
hkir_101027,"Andornaktálya, Szent András kápolna",47.844582,20.412256,1,,
hkir_101027_1,"Andornaktálya, Szent András kápolna",47.844487,20.412292,,hkir_101027,
hkir_101027_2,"Andornaktálya, Szent András kápolna",47.844677,20.412220,,hkir_101027,
hkir_101028,"Eger, Olajmezők",47.854282,20.366978,1,,
hkir_101028_1,"Eger, Olajmezők",47.853829,20.366545,,hkir_101028,
hkir_101028_2,"Eger, Olajmezők",47.854737,20.367408,,hkir_101028,
hkir_101029,"Apc, autóbusz-forduló",47.787247,19.707191,1,,
